protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
Q9BVJ7	DUSP23	NA	3944400	NA	NA	NA	NA	NA	NA	4367600	NA	NA	NA	NA	18358000	NA	13380000	7577900	NA
Q9BVK6	TMED9	94351000	96192000	70744000	134730000	69818000	70511000	72956000	68596000	111200000	58445000	51693000	90297000	71758000	97454000	71979000	84738000	122530000	56941000
Q9BVP2	GNL3	NA	NA	2114700	2421600	NA	1615200	3125500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BW27	NUP85	2923400	1641200	1781500	NA	5024200	NA	NA	NA	NA	2556700	NA	5077400	NA	NA	NA	2502000	1602000	NA
Q9BW60	ELOVL1	11987000	3143200	2955800	7098900	7632000	9805800	4210300	3923400	NA	4680100	2695800	3962800	6055900	5848400	10867000	8069700	6892600	6646600
Q9BW72	HIGD2A	1492400	1084600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BW91	NUDT9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3535800	2408500	1414600	NA	NA	NA	NA	NA
Q9BW92	TARS2	1837800	4348700	4814700	3487900	2783500	1851100	4784500	4443400	5547900	1463200	4970000	4418400	8206700	4577700	NA	3295400	1887300	NA
Q9BWF3;Q9BQ04	RBM4;RBM4B	18306000	16319000	24737000	21549000	13143000	13702000	16406000	13061000	10108000	13191000	23848000	13983000	13324000	13008000	14588000	11847000	14395000	12077000
Q9BWJ5	SF3B5	3310100	NA	2276200	NA	4381200	NA	2350600	2793600	NA	4582500	4141000	NA	3194300	2353600	NA	NA	3842700	NA
Q9BWM7	SFXN3	33733000	20744000	27018000	44138000	10745000	12130000	30781000	44726000	22399000	8504500	8238500	8358800	17343000	28927000	14616000	12351000	12485000	30820000
Q9BWS9	CHID1	NA	NA	NA	5862500	3985900	3876600	4874800	11937000	NA	NA	NA	NA	NA	NA	NA	NA	NA	4666500
