protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
Q13155	AIMP2	23.5612846973961	23.1733443835143	22.935062944389	23.6798319055601	23.4493879517057	23.1386940701186	24.2287668672027	23.870937455627	22.7439382536158	22.9479809149583	23.7500829428529	22.91103294922	22.8962724921479	22.2532230107147	NA	NA	23.4639239607809	23.1882542798928
Q13158	FADD	NA	NA	NA	NA	NA	NA	20.9663063896983	NA	NA	NA	21.3835765520984	NA	NA	NA	NA	NA	NA	NA
Q13162	PRDX4	25.1226948649914	25.1269032939439	25.5945630112565	24.7391607888064	24.062199688765	24.7521069915624	25.4609367555762	26.2425620030279	24.6889823687832	25.4979301756439	25.4082453459794	25.2724197436416	25.3684168940071	25.3255969627119	24.7960969275773	26.2306598519313	25.7395514628324	24.6673731542062
Q13177	PAK2	24.5432146963664	23.2530757768849	23.7464284184765	24.1807205753108	23.4109357567768	23.8387462227195	24.5658081158378	23.7174227860484	24.2222023033766	24.7569418537458	24.7489258554703	23.7449819243621	24.6128798692757	23.268909956217	23.8000487973992	23.8306593162144	23.4650728574808	25.6979734793936
Q13185	CBX3	24.7910691012182	23.9202128813034	24.7544610434617	25.596391697087	25.1158238056947	24.0644680581948	23.9377985231599	24.2126651657722	NA	25.7973529754489	26.5008234929212	25.544355072558	24.3292651751727	24.8047340954679	23.4597352162756	24.8645523641524	25.0947207470275	24.4315885308389
Q13190	STX5	22.1960649086064	24.1622950748568	NA	22.8585178242287	24.0933508920904	22.2925895627056	NA	22.6055793641147	NA	22.6364247315749	NA	22.4485652446436	NA	23.1702200709489	NA	22.2550480015624	22.414190641468	NA
Q13200	PSMD2	26.6446117289792	26.6833580380387	26.0149959001162	26.8736722570099	25.9727127680334	26.1213148510953	26.693849958457	26.106637637651	26.1386008677814	25.7273600831105	26.3756303097311	26.1909781210706	26.2933986121673	25.9348594562482	25.7795633180107	25.7296399783098	26.1403227452402	25.950904613261
Q13217	DNAJC3	21.9293119989742	22.5005320211267	NA	22.2850356182869	21.6626842510747	22.4607435892037	22.4927526876619	23.7029569294983	NA	NA	NA	22.5367799870744	22.9772156293834	22.8679315787596	NA	NA	NA	21.7331096019598
Q13228	SELENBP1	22.8923965955385	24.2288606486671	24.9027454800384	23.3609199718014	24.228976478134	24.6474713146705	25.8844967138374	26.1778401888312	25.2110833914461	23.1510024075426	25.0237811969795	21.4132846124916	24.1607692665242	24.9769977276078	NA	24.7956289260088	21.8164555572577	23.2956419728608
Q13232	NME3	24.9892797629427	24.9363679733884	24.464250941335	24.9889082009046	23.2848630825111	22.7628252146232	25.8780916296655	24.0658079211247	24.7230153195369	23.2342165196714	24.6563345001637	22.7402700072596	25.6650604692495	24.0302390629962	23.7672520580203	22.8849448298976	24.1119781195462	22.4209419913296
Q13242	SRSF9	24.638611026607	24.6856821305958	23.2326758043672	23.9713807541775	24.7387627020055	23.4021003736416	24.4076718885188	24.2466692840101	23.6372398026554	24.4512067747589	25.5025409190685	24.3563710656798	23.5506173664252	23.9297582681332	23.5583768219805	23.3219736579324	24.6955545501562	23.3336827911327
Q13243	SRSF5	22.9786460447558	23.0296838054795	22.4879741578598	23.4985021408456	23.5457716987587	23.2394708516922	23.0742319595615	22.7396750607461	NA	23.4386078607914	23.4612860363843	23.3699364681168	22.5800700337315	22.732419392255	NA	23.1294854952196	NA	NA
Q13247	SRSF6	25.4450538660702	25.248261932176	26.0234581625052	25.9187758279211	25.4512143867377	26.0133884262924	25.1722614786317	25.9148057829975	24.4050722701714	26.037427399547	26.1901481540222	25.5690133715147	25.3269062426768	25.1746094243685	25.3991924847338	25.287329732635	25.3932600387905	24.492022555215
Q13263	TRIM28	27.5376795482852	27.5835933707689	28.3098541576781	28.4651973137043	28.1794327372492	28.1576408954614	28.352037189546	27.8834253683577	27.8155175166339	28.4477947264703	29.1352119455785	27.5617120259378	27.7467442668432	27.91972306969	27.3245770270632	27.7500047389046	27.2844633934168	27.7053326434747
Q13268	DHRS2	28.6067100863037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.3963934804084	21.8618840867659	29.5849555083915	NA
Q13277	STX3	20.4721685875583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.293960583949	NA	NA	NA	NA	NA	NA
Q13283	G3BP1	24.5140039231065	24.2951462102072	25.1332096385079	26.2702844833798	24.4336958670322	24.2340283039711	25.3708668762898	24.9692535670198	24.2468727713354	25.5063939284533	25.4243494994101	23.7970499251154	25.2382016786877	25.2094288832089	24.3626510217188	24.6362432885327	24.2564805643528	24.7687052708974
Q13310	PABPC4	22.6487402031265	22.927542833455	NA	NA	21.8134657313387	22.2244580247327	NA	NA	22.1708385165192	22.5035946492148	23.2849008232079	22.5704828160126	23.079883731771	22.9340552036727	NA	22.3768613291061	22.3214389738287	NA
Q13325	IFIT5	19.4168299407724	NA	NA	NA	NA	19.6774135726757	NA	NA	22.289556787371	20.3949560096372	NA	21.7537084328233	NA	NA	NA	NA	NA	NA
Q13347	EIF3I	24.8175171436351	24.858376582824	24.2254517521392	25.1113512430336	24.0335379607295	24.5261437736689	24.2437907940402	25.1180602724915	24.0422835177979	24.7297100293404	24.6326905182574	24.3506176014855	24.5862673816946	23.993280396586	24.3978458157732	23.3672383916682	24.7222254886268	24.2101867401914
Q13363	CTBP1	23.7090791493885	22.6891672045915	23.1158119461462	23.0785387850651	22.3935515117851	23.4321350573058	22.9951278778972	21.8439233439126	NA	23.7999435670431	24.2562267406018	23.2851043952754	22.9004778674829	22.7773965183679	22.3218102724304	22.9526546933239	22.7799912309688	22.7402897419398
Q13405	MRPL49	23.200603529992	23.2482458053807	23.5733173202759	22.6047547306111	23.4854844248445	22.3741058336117	23.3634602848214	23.5032812923973	22.0495475620634	21.6928350516641	22.8596488628217	22.2421216524293	22.2343272403694	21.906072566464	23.0474985020905	22.6185067904771	23.2091311040697	22.5200079829804
Q13409	DYNC1I2	24.1029983376707	23.574119586658	24.2160451298231	24.6546213427629	23.7840470485228	24.4089877357227	24.850255243949	24.5083539800611	24.7109052676231	24.2736777320795	23.9790852126994	24.4907506784276	24.1667560455148	24.0051176739768	23.9605446255367	24.5530437241301	23.7982373082296	24.3758229161326
Q13418	ILK	21.6332112161577	NA	NA	21.0250981569922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13423	NNT	22.4726460464374	25.5797376276064	26.5450177431933	25.4945986050319	24.1255149171848	26.2704855380283	27.0248395221706	25.9199587977402	25.2259824819743	24.4332392658184	25.0465624930946	25.0632035723818	26.06356628116	NA	24.7664443910763	22.8623759825008	25.9907747599235	25.5621620639018
Q13428	TCOF1	21.0868546087247	23.062520968115	23.0393802938545	24.0781214882001	21.5769944124317	22.1028239988998	24.0785242316221	22.5409458479076	22.150035970486	24.0502233342204	22.3965830630293	22.0479771186656	22.3715238060078	22.2658915541657	23.4452566748215	23.0528259982027	21.1918246569171	22.2816451857566
Q13433	SLC39A6	NA	NA	21.5408438788527	NA	NA	20.9647349343788	21.8645621809724	20.9307273345569	NA	NA	NA	NA	NA	NA	20.3057599944148	NA	NA	NA
Q13435	SF3B2	25.8052754017626	26.0086459217246	25.480665116028	25.9706967114048	25.9538186843461	25.9257871459895	25.864301030812	25.5015864251576	25.0437940278461	26.1753474714203	25.9130268612808	25.7223689529661	25.4720465390305	25.7722677726851	25.8098977019668	25.3664645381707	25.3825243741011	24.8736186775718
Q13443	ADAM9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.7203567372704	NA	20.4919355582891	NA	NA
Q13445	TMED1	23.2560941107847	22.3918222296189	22.5788701037625	23.8165199019528	22.5068281184807	23.0130841225598	22.652359533215	22.3427297888546	22.4303234646126	22.1924208480389	23.351786899742	22.0681510937351	21.9242263940786	22.2700382995233	21.7494462149846	22.5112651574524	22.3646801572052	22.437166808277
Q13451	FKBP5	21.8369007054582	20.503426582797	21.0863145826522	20.9851681306781	21.766848652964	22.6559231141146	21.4382490686959	NA	21.5935842936697	25.7015508013623	21.73237196553	23.221956083512	24.8636461673565	21.5906122765061	22.8483005041933	NA	NA	24.2408448634398
Q13464	ROCK1	21.7409837541923	NA	NA	23.6965944855304	NA	22.4486429595786	22.341364063682	NA	NA	22.2310142860009	NA	22.0493516793421	23.153943643502	NA	NA	NA	NA	NA
Q13492;O60641	PICALM	25.3094920473222	22.1744480689188	22.7671209918855	24.4865204597086	23.7732409854043	23.9680263537232	22.916928048088	24.6055568221808	22.6592971343516	23.1217068075411	21.5126534306802	24.0604562074923	23.5938469796442	22.9854725908713	24.5350134637649	23.527018835705	24.0318869346612	25.6720362418325
Q13501	SQSTM1	23.7411378847494	22.7887456458524	24.5872223130916	24.301122966964	NA	20.8425592758307	23.1034067396801	22.4974134176229	22.3712686195958	21.7338619152076	21.7700147918311	NA	23.5240922979589	22.4739798600121	22.1827537611312	21.8420694518791	22.2560086327029	22.1155644350016
Q13505	MTX1	21.936021503159	22.3996262667123	21.9368806376418	22.229260574987	22.4146966824735	22.244542270776	22.4046952858017	22.0366114165763	21.2096131527664	21.1560999416169	21.7962831346021	21.620919052741	22.0638246188288	22.4910483234119	NA	22.2328557817835	21.780975669793	NA
Q13509	TUBB3	24.251356039724	20.7014934566712	23.5410777009036	25.8239783699965	22.5511668205036	NA	26.6888062800065	NA	22.737614167301	21.0297978626883	20.0902209509173	21.5153285457778	25.7996648560387	24.2539731446408	NA	25.5550012482309	24.7076849353912	26.3810819002068
Q13510	ASAH1	23.8927335973977	24.2833114595457	24.8678555441519	24.8705849339691	24.0708995357783	25.2654032103768	24.7784122327591	25.4139740525066	24.430699425201	25.3528226471312	25.1429615204928	24.645780162976	23.491381723714	25.2764130653809	22.5088207884495	24.3679809007123	24.4699136930649	23.1507065973644
Q13523	PRPF4B	NA	23.0017367602994	NA	NA	22.8202835099792	22.9850290272965	NA	NA	NA	NA	NA	NA	22.1892971706437	22.0074179134327	NA	NA	22.6532512551478	NA
Q13526	PIN1	22.6223983954462	NA	NA	23.3725077074223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.9171512561856
Q13547;O15379	HDAC1	NA	22.9699556228589	23.2711008503413	23.2781489318125	23.1687246029774	23.6752838528023	23.1807922829612	22.9103233794515	NA	23.517867078828	23.1602820578902	NA	22.8591494419388	22.990751241888	NA	NA	23.272493403152	23.3482447201514
Q13557;Q9UQM7	CAMK2D	19.6654502422316	22.9736083387517	21.2272450138809	NA	20.6671214097667	20.4286227937891	21.091176182534	21.0167118591386	24.3355299871867	22.93460244859	22.962771224776	24.5528600558962	22.1249404338881	23.6310177955393	21.1391388655926	22.8986098156611	21.531897014248	22.1502875558091
